iter	Passed	Remaining
0	73	72950
1	86	43278
2	101	33648
3	115	28660
4	128	25608
5	142	23568
6	156	22173
7	168	20902
8	181	19940
9	194	19225
10	207	18618
11	220	18150
12	234	17779
13	248	17469
14	261	17174
15	274	16901
16	288	16698
17	301	16462
18	314	16258
19	328	16082
20	341	15897
21	353	15727
22	367	15604
23	380	15479
24	394	15371
25	407	15257
26	419	15133
27	432	15014
28	445	14912
29	458	14822
30	471	14747
31	486	14706
32	499	14651
33	515	14647
34	529	14608
35	544	14592
36	560	14575
37	575	14558
38	589	14518
39	603	14491
40	618	14477
41	635	14491
42	651	14491
43	667	14504
44	683	14502
45	698	14490
46	713	14475
47	730	14479
48	747	14500
49	762	14478
50	778	14494
51	794	14477
52	808	14450
53	824	14441
54	843	14485
55	858	14469
56	872	14435
57	886	14400
58	901	14373
59	915	14343
60	929	14315
61	943	14278
62	958	14250
63	972	14229
64	986	14193
65	1000	14151
66	1012	14105
67	1026	14071
68	1039	14026
69	1052	13989
70	1066	13949
71	1078	13904
72	1092	13869
73	1105	13835
74	1118	13797
75	1131	13755
76	1144	13717
77	1157	13682
78	1171	13654
79	1184	13619
80	1197	13583
81	1210	13551
82	1224	13526
83	1237	13491
84	1249	13455
85	1263	13427
86	1276	13398
87	1289	13367
88	1303	13343
89	1316	13308
90	1329	13277
91	1341	13242
92	1354	13213
93	1367	13179
94	1379	13144
95	1393	13122
96	1406	13093
97	1419	13069
98	1433	13043
99	1446	13017
100	1459	12987
101	1473	12969
102	1487	12955
103	1502	12944
104	1518	12941
105	1534	12942
106	1551	12948
107	1567	12944
108	1582	12937
109	1597	12925
110	1612	12918
111	1626	12897
112	1640	12875
113	1652	12845
114	1666	12821
115	1679	12798
116	1692	12770
117	1705	12748
118	1718	12724
119	1732	12702
120	1746	12684
121	1759	12663
122	1774	12650
123	1786	12623
124	1799	12598
125	1812	12575
126	1826	12553
127	1840	12539
128	1855	12531
129	1869	12514
130	1883	12497
131	1898	12486
132	1912	12465
133	1927	12454
134	1941	12441
135	1955	12422
136	1970	12411
137	1985	12400
138	1999	12386
139	2015	12382
140	2030	12370
141	2045	12357
142	2061	12355
143	2077	12352
144	2093	12343
145	2108	12333
146	2123	12323
147	2138	12313
148	2153	12298
149	2167	12284
150	2183	12275
151	2197	12262
152	2211	12242
153	2225	12223
154	2238	12201
155	2251	12182
156	2265	12162
157	2278	12140
158	2290	12117
159	2303	12093
160	2316	12069
161	2329	12049
162	2342	12028
163	2355	12009
164	2369	11989
165	2382	11969
166	2396	11952
167	2408	11929
168	2421	11906
169	2434	11886
170	2447	11863
171	2460	11845
172	2473	11825
173	2486	11806
174	2499	11784
175	2512	11763
176	2525	11744
177	2539	11726
178	2553	11711
179	2567	11696
180	2580	11677
181	2594	11661
182	2608	11645
183	2625	11645
184	2642	11640
185	2658	11632
186	2674	11628
187	2691	11623
188	2706	11613
189	2722	11604
190	2737	11594
191	2752	11583
192	2768	11576
193	2783	11565
194	2798	11553
195	2813	11541
196	2828	11530
